Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Nom communes équipées
14008;Mouton Duvernet - Général Leclerc;OUI;39;34;5;3;2;OUI;OUI;2023-11-05T20:39:26+01:00;Paris
1119;Cossonnerie - Sébastopol;OUI;24;4;20;15;5;OUI;OUI;2023-11-05T20:43:20+01:00;Paris
14106;Marc Sangnier - Porte de Vanves;OUI;21;19;2;0;2;OUI;OUI;2023-11-05T20:37:37+01:00;Paris
35020;Marcelle - Thalie;OUI;20;15;3;0;3;OUI;OUI;2023-11-05T20:43:50+01:00;Pantin
22406;Guy Môquet - Etienne Dolet;OUI;23;21;0;0;0;OUI;OUI;2023-11-05T20:42:53+01:00;Malakoff
31003;Paris - Emile Zola;OUI;30;23;5;2;3;OUI;OUI;2023-11-05T20:41:17+01:00;Montreuil
31102;Boissière - Etienne Dolet;OUI;21;15;5;1;4;OUI;OUI;2023-11-05T20:43:27+01:00;Montreuil
9116;Victoire - Chaussée d'Antin;OUI;24;23;1;1;0;OUI;OUI;2023-11-05T20:39:15+01:00;Paris
2111;Chabanais - Petits Champs;OUI;30;4;24;23;1;OUI;OUI;2023-11-05T20:38:48+01:00;Paris
32604;Square du Théâtre du Garde-Chasse;OUI;50;47;3;1;2;OUI;OUI;2023-11-05T20:42:15+01:00;Les Lilas
18022;Marcadet - Barbès;OUI;37;32;3;3;0;OUI;OUI;2023-11-05T20:41:40+01:00;Paris
19024;Botzaris - Parc des Buttes Chaumont;OUI;20;18;2;1;1;OUI;OUI;2023-11-05T20:37:58+01:00;Paris
8054;Bertie Albrecht - Hoche;OUI;32;29;2;0;2;OUI;OUI;2023-11-05T20:43:08+01:00;Paris
15021;Joseph Liouville - Croix Nivert;OUI;64;37;23;17;6;OUI;OUI;2023-11-05T20:40:02+01:00;Paris
21209;Molière - République;OUI;30;21;8;0;8;OUI;OUI;2023-11-05T20:35:41+01:00;Montrouge
17105;Place Madeleine Daniélou;OUI;42;22;17;5;12;OUI;OUI;2023-11-05T20:42:48+01:00;Paris
35010;Hoche - Jean Lolive;OUI;24;20;4;2;2;OUI;OUI;2023-11-05T20:42:46+01:00;Pantin
16038;Molitor - Chardon-Lagache;OUI;34;16;17;11;6;OUI;OUI;2023-11-05T20:38:04+01:00;Paris
10042;Enghien - Faubourg Poissonnière;OUI;33;15;15;12;3;OUI;OUI;2023-11-05T20:43:45+01:00;Paris
14110;Abbé Carton - Plantes;OUI;25;21;3;0;3;OUI;OUI;2023-11-05T20:43:49+01:00;Paris
15133;Saint Lambert - Blomet;OUI;27;14;12;5;7;OUI;OUI;2023-11-05T20:43:20+01:00;Paris
17125;Marie-Georges Picquart - Pereire;OUI;32;29;3;3;0;OUI;OUI;2023-11-05T20:35:59+01:00;Paris
15110;Place Robert Guillemard;OUI;24;2;22;20;2;OUI;OUI;2023-11-05T20:42:11+01:00;Paris
16136;Théophile Gautier - François Millet;OUI;30;2;27;21;6;OUI;OUI;2023-11-05T20:40:00+01:00;Paris
21006;Marcelin Berthelot;OUI;27;7;20;19;1;OUI;OUI;2023-11-05T20:42:37+01:00;Boulogne-Billancourt
19032;Villette - Belleville;OUI;48;26;17;7;10;OUI;OUI;2023-11-05T20:43:19+01:00;Paris
20131;Repos - Cimetière du Père Lachaise;OUI;33;32;1;1;0;OUI;OUI;2023-11-05T20:39:09+01:00;Paris
19022;Marché Secrétan;OUI;26;20;5;2;3;OUI;OUI;2023-11-05T20:43:35+01:00;Paris
